tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,3,0.50005,0.0125,0.1224,0.36505,0.50005
B1,4,0.52945538,0,0.17326767,0.52945538,0.29727695
B1,4,0.56483417,0,0.19102794,0.56483417,0.24413789
B1,4,0.5769866,0,0.20748123,0.5769866,0.21553217
B1,4,0.58231646,0,0.21639328,0.58231646,0.20129026
B1,3,0.4627756,0.11651165,0.11157231,0.4627756,0.30914043
A1,4,0.44129413,0.23637364,0,0.32233223,0.44129413
A1,4,0.46897106,0.25423886,0,0.27679008,0.46897106
A1,4,0.48787295,0.27354079,0,0.23858626,0.48787295
A1,4,0.49782494,0.28184245,0,0.22033261,0.49782494
A1,4,0.50540108,0.2980096,0,0.19658932,0.50540108
A1,3,0.41708342,0.15533107,0.16558312,0.2620024,0.41708342
B1,4,0.35462092,0,0.335017,0.35462092,0.31036207
B1,4,0.37925627,0,0.35570251,0.37925627,0.26504121
B1,4,0.38495741,0,0.38460829,0.38495741,0.23043429
A2,2,0.40590194,0,0.40590194,0.38264587,0.21145219
A2,2,0.42240524,0,0.42240524,0.38514638,0.19244839
A2,2,0.44293859,0,0.44293859,0.38072615,0.17633527
B1,3,0.32746549,0.24189838,0.22809562,0.32746549,0.20254051
B2,2,0.49744949,0.49744949,0,0.25325065,0.24929986
B2,2,0.52823291,0.52823291,0,0.20404973,0.26771735
B2,2,0.56033934,0.56033934,0,0.16659224,0.27306842
B2,2,0.58871774,0.58871774,0,0.14037808,0.27090418
A2,2,0.30879264,0.30106021,0.30879264,0.1403358,0.24981135
A2,2,0.63370762,0,0.63370762,0.16404054,0.20225184
A2,2,0.66013203,0,0.66013203,0.18453691,0.15533107
A2,2,0.68825235,0,0.68825235,0.18852863,0.12321902
A2,2,0.72235917,0,0.72235917,0.17422577,0.10341506
A2,2,0.75060012,0,0.75060012,0.16303261,0.08636727
B2,2,0.393318,0.393318,0.38127626,0.14668605,0.0787197
B2,2,0.79463839,0.79463839,0,0.11993598,0.08542563
B2,2,0.81610335,0.81610335,0,0.08392206,0.09997459
B2,2,0.84386168,0.84386168,0,0.05691396,0.09922436
B2,2,0.86307212,0.86307212,0,0.04540969,0.09151818
A2,2,0.44214421,0.4339934,0.44214421,0.03760376,0.08625863
A2,2,0.8904287,0,0.8904287,0.04170892,0.06786238
A2,2,0.90767636,0,0.90767636,0.04841206,0.04391158
A2,2,0.92303461,0,0.92303461,0.04890978,0.02805561
A2,2,0.93208326,0,0.93208326,0.04571129,0.02220545
A2,2,0.93983481,0,0.93983481,0.04216058,0.01800461
B2,2,0.47729773,0.47729773,0.47139428,0.03715579,0.01415221
B2,2,0.95454318,0.95454318,0,0.02830402,0.01715281
B2,2,0.95944011,0.95944011,0,0.01765411,0.02290578
B2,2,0.96714014,0.96714014,0,0.01085326,0.0220066
B2,2,0.97069263,0.97069263,0,0.00880227,0.0205051
A2,2,0.48779756,0.48574715,0.48779756,0.00660132,0.01985397
A2,2,0.97659532,0,0.97659532,0.00790158,0.0155031
A2,2,0.98049693,0,0.98049693,0.01085159,0.00865148
A2,2,0.98359755,0,0.98359755,0.01125167,0.00515078
A2,2,0.98539708,0,0.98539708,0.01010202,0.0045009
A2,2,0.98819817,0,0.98819817,0.00845131,0.00335052
B2,2,0.49494848,0.49494848,0.49469947,0.00775157,0.00260048
B2,2,0.99074722,0.99074722,0,0.00670201,0.00255077
B2,2,0.9919976,0.9919976,0,0.0036511,0.00435131
B2,2,0.99314825,0.99314825,0,0.00190047,0.00495128
B2,2,0.99439888,0.99439888,0,0.0015003,0.00410082
B2,1,0.49744949,0.49744949,0.49679936,0.00140028,0.00435087
A2,2,0.99529906,0,0.99529906,0.0015003,0.00320064
A2,2,0.9964993,0,0.9964993,0.00180036,0.00170034
A2,2,0.99714943,0,0.99714943,0.00180036,0.00105021
A2,2,0.9974995,0,0.9974995,0.00195039,0.00055011
A2,2,0.9974995,0,0.9974995,0.0020004,0.0005001
A2,1,0.49914983,0.49909982,0.49914983,0.00125025,0.0005001
B2,2,0.99839975,0.99839975,0,0.00080014,0.00080011
B2,2,0.99859979,0.99859979,0,0.00045007,0.00095014
B2,2,0.9986998,0.9986998,0,0.00035006,0.00095014
B2,2,0.99859978,0.99859978,0,0.00025004,0.00115018
A2,2,0.49969997,0.49919984,0.49969997,0.00015003,0.00095016
A2,2,0.99919992,0,0.99919992,5.00E-05,0.00075008
A2,2,0.99919992,0,0.99919992,0.00020002,0.00060006
A2,2,0.99939991,0,0.99939991,0.00035006,0.00025004
A2,2,0.99934987,0,0.99934987,0.00045009,0.00020004
A2,2,0.99939988,0,0.99939988,0.00045009,0.00015003
B2,2,0.49979998,0.49979998,0.49974995,0.00030005,0.00015002
B2,2,0.99959994,0.99959994,0,0.00020003,0.00020003
B2,2,0.99974995,0.99974995,0,0.00010002,0.00015003
B2,2,0.99964996,0.99964996,0,5.00E-05,0.00030003
B2,2,0.99949995,0.99949995,0,0.00015002,0.00035004
A2,2,0.49994999,0.49979998,0.49994999,0.00010001,0.00015002
A2,2,0.99984997,0,0.99984997,0.00010002,5.00E-05
A2,2,0.99989998,0,0.99989998,0.00010002,0
A2,2,1,0,1,0,0
A2,2,0.99994999,0,0.99994999,5.00E-05,0
A2,2,0.99994999,0,0.99994999,5.00E-05,0
A2,1,0.5,0.5,0.5,0,0
B2,2,1,1,0,0,0
B2,2,1,1,0,0,0
B2,2,1,1,0,0,0
B2,2,1,1,0,0,0
B2,1,0.5,0.5,0.5,0,0
A2,2,0.99994999,0,0.99994999,0,5.00E-05
A2,2,0.99994999,0,0.99994999,0,5.00E-05
A2,2,1,0,1,0,0
A2,2,1,0,1,0,0
A2,2,1,0,1,0,0
A2,1,0.5,0.5,0.5,0,0
B2,2,1,1,,0,0