gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
1,0.1,2,A1,1,0.3375,0.11964286,0.23392857,0.30892857,0.3375
2,0.1,2,B1,2,0.46428571,0.21428571,0.32142857,0.46428571,0
3,0.1,2,A2,4,0.42857143,0.16071429,0.42857143,0.41071429,0
4,0.1,2,A2,4,0.50727513,0.18320106,0.50727513,0.30952381,0
5,0.1,2,B2,4,0.38825032,0.38825032,0.35887612,0.16666667,0.0862069
6,0.1,2,B2,4,0.50862069,0.50862069,0.33374384,0,0.15763547
7,0.1,2,B2,4,0.58928571,0.58928571,0.26785714,0,0.14285714
8,0.1,2,B2,4,0.60714286,0.60714286,0.25,0,0.14285714
9,0.1,2,B2,3,0.48214286,0.48214286,0.16071429,0.10714286,0.25
10,0.1,2,B2,2,0.44642857,0.44642857,0,0.21428571,0.33928571
11,0.1,2,B1,4,0.41071429,0.23214286,0.10714286,0.41071429,0.25
12,0.1,2,B1,4,0.53571429,0,0.19642857,0.53571429,0.26785714
13,0.1,2,B1,4,0.5,0,0.19642857,0.5,0.30357143
14,0.1,2,B1,4,0.51785714,0,0.23214286,0.51785714,0.25
15,0.1,2,B1,4,0.58928571,0,0.16071429,0.58928571,0.25
16,0.1,2,B1,3,0.53571429,0.03571429,0.03571429,0.53571429,0.39285714
17,0.1,2,A1,4,0.58928571,0.10714286,0,0.30357143,0.58928571
18,0.1,2,A1,4,0.69179894,0.12698413,0,0.18121693,0.69179894
19,0.1,2,A1,3,0.49537037,0.35912698,0.07142857,0.07407407,0.49537037
20,0.1,2,B2,4,0.53571429,0.53571429,0.17857143,0,0.28571429
21,0.1,2,B2,3,0.42857143,0.42857143,0.30357143,0.10714286,0.16071429
22,0.1,2,A2,4,0.42857143,0.375,0.42857143,0.19642857,0
23,0.1,2,A2,4,0.51785714,0.25,0.51785714,0.23214286,0
24,0.1,2,A2,3,0.42857143,0.07142857,0.42857143,0.35714286,0.14285714
25,0.1,2,B1,4,0.44642857,0,0.33928571,0.44642857,0.21428571
26,0.1,2,B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
27,0.1,2,B1,4,0.69642857,0,0.19642857,0.69642857,0.10714286
28,0.1,2,B1,3,0.60714286,0.10714286,0.05357143,0.60714286,0.23214286
29,0.1,2,A1,4,0.40145503,0.21825397,0,0.38029101,0.40145503
30,0.1,2,A1,4,0.49074074,0.20039683,0,0.30886243,0.49074074
31,0.1,2,A1,4,0.51785714,0.125,0,0.35714286,0.51785714
32,0.1,2,A1,4,0.60714286,0.08928571,0,0.30357143,0.60714286
33,0.1,2,A1,3,0.48214286,0.28571429,0.125,0.10714286,0.48214286
34,0.1,2,B2,4,0.51785714,0.51785714,0.21428571,0,0.26785714
35,0.1,2,B2,4,0.51785714,0.51785714,0.125,0,0.35714286
36,0.1,2,B2,4,0.60714286,0.60714286,0.08928571,0,0.30357143
37,0.1,2,B2,2,0.53571429,0.53571429,0.25,0.14285714,0.07142857
38,0.1,2,A2,3,0.35714286,0.16071429,0.35714286,0.30357143,0.17857143
39,0.1,2,B1,4,0.41071429,0,0.25,0.41071429,0.33928571
40,0.1,2,B1,4,0.5,0,0.19642857,0.5,0.30357143
41,0.1,2,B1,4,0.48214286,0,0.26785714,0.48214286,0.25
42,0.1,2,B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
43,0.1,2,B1,4,0.625,0,0.26785714,0.625,0.10714286
44,0.1,2,B1,4,0.53571429,0,0.26785714,0.53571429,0.19642857
45,0.1,2,B1,2,0.375,0.08928571,0.17857143,0.375,0.35714286
46,0.1,2,A1,4,0.5,0.19642857,0,0.30357143,0.5
47,0.1,2,A1,3,0.39285714,0.33928571,0.10714286,0.16071429,0.39285714
48,0.1,2,B2,4,0.55357143,0.55357143,0.21428571,0,0.23214286
49,0.1,2,B2,4,0.66071429,0.66071429,0.125,0,0.21428571
50,0.1,2,B2,4,0.66071429,0.66071429,0.05357143,0,0.28571429
51,0.1,2,B2,2,0.5,0.5,0.03571429,0.01785714,0.44642857
52,0.1,2,A1,3,0.41071429,0.17857143,0.19642857,0.21428571,0.41071429
53,0.1,2,B1,4,0.42857143,0,0.26785714,0.42857143,0.30357143
54,0.1,2,B1,4,0.50992063,0,0.18253968,0.50992063,0.30753968
55,0.1,2,B1,4,0.50992063,0,0.18253968,0.50992063,0.30753968
56,0.1,2,B1,4,0.44642857,0,0.23214286,0.44642857,0.32142857
57,0.1,2,B1,4,0.48214286,0,0.26785714,0.48214286,0.25
58,0.1,2,B1,4,0.51785714,0,0.25,0.51785714,0.23214286
59,0.1,2,B1,4,0.51785714,0,0.32142857,0.51785714,0.16071429
60,0.1,2,B1,3,0.5,0.03571429,0.41071429,0.5,0.05357143
61,0.1,2,A2,2,0.41071429,0.19642857,0.41071429,0.23214286,0.16071429
62,0.1,2,A2,2,0.35714286,0.33928571,0.35714286,0,0.30357143
63,0.1,2,B2,4,0.46428571,0.46428571,0.33928571,0,0.19642857
64,0.1,2,B2,3,0.42857143,0.42857143,0.16071429,0.14285714,0.26785714
65,0.1,2,A1,4,0.44642857,0.30357143,0,0.25,0.44642857
66,0.1,2,B2,2,0.41071429,0.41071429,0,0.19642857,0.39285714
67,0.1,2,A1,4,0.44642857,0.33928571,0,0.21428571,0.44642857
68,0.1,2,A1,4,0.625,0.21428571,0,0.16071429,0.625
69,0.1,2,A1,3,0.5,0.125,0.10714286,0.26785714,0.5
70,0.1,2,B1,4,0.5,0,0.17857143,0.5,0.32142857
71,0.1,2,B1,4,0.55357143,0,0.16071429,0.55357143,0.28571429
72,0.1,2,B1,4,0.57142857,0,0.17857143,0.57142857,0.25
73,0.1,2,B1,4,0.6005291,0,0.20039683,0.6005291,0.19907407
74,0.1,2,B1,3,0.45767196,0.125,0.34325397,0.45767196,0.07407407
75,0.1,2,A2,4,0.53571429,0.21428571,0.53571429,0.25,0
76,0.1,2,A2,3,0.46428571,0.375,0.46428571,0.10714286,0.05357143
77,0.1,2,B2,4,0.57881773,0.57881773,0.28140394,0,0.13977833
78,0.1,2,B2,3,0.52524631,0.52524631,0.12068966,0.10714286,0.24692118
79,0.1,2,A1,4,0.42857143,0.32142857,0,0.25,0.42857143
80,0.1,2,A1,4,0.58928571,0.16071429,0,0.25,0.58928571
81,0.1,2,A1,4,0.66071429,0.125,0,0.21428571,0.66071429
82,0.1,2,A1,3,0.46428571,0.05357143,0.10714286,0.375,0.46428571
83,0.1,2,B1,4,0.625,0,0.16071429,0.625,0.21428571
84,0.1,2,B1,4,0.58928571,0,0.17857143,0.58928571,0.23214286
85,0.1,2,B1,4,0.58928571,0,0.21428571,0.58928571,0.19642857
86,0.1,2,B1,3,0.48214286,0.08928571,0.375,0.48214286,0.05357143
87,0.1,2,A2,3,0.5,0.26785714,0.5,0.125,0.10714286
88,0.1,2,B2,4,0.53571429,0.53571429,0.28571429,0,0.17857143
89,0.1,2,B2,4,0.625,0.625,0.17857143,0,0.19642857
90,0.1,2,B2,3,0.55357143,0.55357143,0.10714286,0,0.33928571
91,0.1,2,B2,2,0.5,0.5,0,0.07142857,0.42857143
92,0.1,2,A1,4,0.42857143,0.41071429,0,0.16071429,0.42857143
93,0.1,2,A1,3,0.38095238,0.19642857,0.09259259,0.33002646,0.38095238
94,0.1,2,B1,4,0.43716931,0,0.23544974,0.43716931,0.32738095
95,0.1,2,B1,4,0.42857143,0,0.25,0.42857143,0.32142857
96,0.1,2,B1,4,0.42857143,0,0.21428571,0.42857143,0.35714286
97,0.1,2,B1,4,0.5,0,0.19642857,0.5,0.30357143
98,0.1,2,B1,4,0.60714286,0,0.16071429,0.60714286,0.23214286
99,0.1,2,B1,4,0.59986772,0,0.18253968,0.59986772,0.21759259
100,0.1,2,B1,4,0.58201058,0,0.20039683,0.58201058,0.21759259
1,0.1,7,B1,2,0.34464286,0.1375,0.18035714,0.34464286,0.3375
2,0.1,7,A2,4,0.47619048,0.16203704,0.47619048,0.36177249,0
3,0.1,7,A2,4,0.6091954,0.17496807,0.6091954,0.21583653,0
4,0.1,7,A2,4,0.6091954,0.19348659,0.6091954,0.19731801,0
5,0.1,7,A2,3,0.51190476,0.21626984,0.51190476,0.11111111,0.16071429
6,0.1,7,B2,4,0.42857143,0.42857143,0.35714286,0,0.21428571
7,0.1,7,B2,4,0.69642857,0.69642857,0.25,0,0.05357143
8,0.1,7,B2,3,0.66071429,0.66071429,0.07142857,0.08928571,0.17857143
9,0.1,7,A1,4,0.43783069,0.38029101,0,0.18187831,0.43783069
10,0.1,7,A1,4,0.57407407,0.2962963,0,0.12962963,0.57407407
11,0.1,7,A1,3,0.4755291,0.14814815,0.14285714,0.23346561,0.4755291
12,0.1,7,B1,4,0.44642857,0,0.19642857,0.44642857,0.35714286
13,0.1,7,B1,4,0.57142857,0,0.16071429,0.57142857,0.26785714
14,0.1,7,B1,4,0.625,0,0.16071429,0.625,0.21428571
15,0.1,7,B1,4,0.64285714,0,0.14285714,0.64285714,0.21428571
16,0.1,7,B1,4,0.66071429,0,0.17857143,0.66071429,0.16071429
17,0.1,7,A1,2,0.375,0.08928571,0.21428571,0.32142857,0.375
18,0.1,7,A1,2,0.46428571,0.32142857,0.21428571,0,0.46428571
19,0.1,7,B2,4,0.52524631,0.52524631,0.14100985,0,0.33374384
20,0.1,7,B2,4,0.57881773,0.57881773,0.12315271,0,0.29802956
21,0.1,7,B2,4,0.66071429,0.66071429,0.10714286,0,0.23214286
22,0.1,7,B2,3,0.67857143,0.67857143,0.19642857,0.03571429,0.08928571
23,0.1,7,B2,1,0.30357143,0.30357143,0.28571429,0.17857143,0.23214286
24,0.1,7,B2,1,0,0,0.21428571,0.39285714,0.39285714
25,0.1,7,B1,4,0.57142857,0,0.19642857,0.57142857,0.23214286
26,0.1,7,B1,4,0.57142857,0,0.26785714,0.57142857,0.16071429
27,0.1,7,B1,4,0.54310345,0,0.36761084,0.54310345,0.08928571
28,0.1,7,B1,4,0.59667488,0,0.33189655,0.59667488,0.07142857
29,0.1,7,B1,4,0.69246032,0,0.19907407,0.69246032,0.10846561
30,0.1,7,B1,2,0.72222222,0.03703704,0.07407407,0.72222222,0.16666667
31,0.1,7,A1,3,0.36177249,0.10846561,0.19642857,0.33333333,0.36177249
32,0.1,7,A1,3,0.37007389,0.31280788,0.31711823,0,0.37007389
33,0.1,7,B2,4,0.49137931,0.49137931,0.24568966,0,0.26293103
34,0.1,7,B2,4,0.58928571,0.58928571,0.17857143,0,0.23214286
35,0.1,7,B2,4,0.64963054,0.64963054,0.19150246,0,0.158867
36,0.1,7,B2,4,0.60344828,0.60344828,0.24137931,0,0.15517241
37,0.1,7,B2,2,0.50738916,0.50738916,0.10344828,0.07142857,0.31773399
38,0.1,7,A1,3,0.39285714,0.21428571,0.21428571,0.17857143,0.39285714
39,0.1,7,A2,2,0.39285714,0,0.39285714,0.23214286,0.375
40,0.1,7,A1,3,0.39285714,0,0.26785714,0.33928571,0.39285714
41,0.1,7,B1,4,0.5,0,0.14285714,0.5,0.35714286
42,0.1,7,B1,4,0.61904762,0,0.1276455,0.61904762,0.25330688
43,0.1,7,B1,4,0.72222222,0,0.07407407,0.72222222,0.2037037
44,0.1,7,B1,4,0.78174603,0,0.03571429,0.78174603,0.18253968
45,0.1,7,B1,2,0.66071429,0.03571429,0.03571429,0.66071429,0.26785714
46,0.1,7,A1,3,0.39285714,0.23214286,0.10714286,0.26785714,0.39285714
47,0.1,7,B2,4,0.40332512,0.40332512,0.22783251,0,0.36884236
48,0.1,7,B2,4,0.47475369,0.47475369,0.24568966,0,0.27955665
49,0.1,7,B2,4,0.58928571,0.58928571,0.19642857,0,0.21428571
50,0.1,7,B2,4,0.57142857,0.57142857,0.21428571,0,0.21428571
51,0.1,7,B2,3,0.42241379,0.42241379,0.40147783,0.06896552,0.10714286
52,0.1,7,A2,3,0.50862069,0.17241379,0.50862069,0.21182266,0.10714286
53,0.1,7,A2,3,0.46428571,0,0.46428571,0.33928571,0.19642857
54,0.1,7,A2,2,0.41071429,0,0.41071429,0.41071429,0.17857143
55,0.1,7,B1,4,0.47354497,0,0.34457672,0.47354497,0.18187831
56,0.1,7,B1,3,0.45568783,0.10714286,0.14814815,0.45568783,0.28902116
57,0.1,7,B1,3,0.40013228,0.19973545,0,0.40013228,0.40013228
58,0.1,7,A1,4,0.46232439,0.21328225,0,0.32439336,0.46232439
59,0.1,7,A1,4,0.52647783,0.17426108,0,0.29926108,0.52647783
60,0.1,7,A1,4,0.625,0.07142857,0,0.30357143,0.625
61,0.1,7,A1,3,0.55357143,0.21428571,0.10714286,0.125,0.55357143
62,0.1,7,B2,4,0.38161376,0.38161376,0.27380952,0,0.34457672
63,0.1,7,A2,4,0.40740741,0.37037037,0.40740741,0.07407407,0.14814815
64,0.1,7,A2,4,0.52645503,0.32804233,0.52645503,0.14550265,0
65,0.1,7,A2,4,0.58928571,0.32142857,0.58928571,0.08928571,0
66,0.1,7,A2,3,0.5,0.17857143,0.5,0.21428571,0.10714286
67,0.1,7,B1,4,0.41071429,0,0.375,0.41071429,0.21428571
68,0.1,7,B1,4,0.51785714,0,0.30357143,0.51785714,0.17857143
69,0.1,7,B1,3,0.45874384,0.10344828,0.125,0.45874384,0.31280788
70,0.1,7,A1,4,0.38423645,0.29987685,0,0.3158867,0.38423645
71,0.1,7,A1,4,0.40147783,0.35160099,0,0.24692118,0.40147783
72,0.1,7,A1,4,0.55172414,0.31034483,0,0.13793103,0.55172414
73,0.1,7,A1,4,0.66810345,0.20874384,0,0.12315271,0.66810345
74,0.1,7,A1,4,0.78571429,0.10714286,0,0.10714286,0.78571429
75,0.1,7,A1,2,0.58928571,0.05357143,0.01785714,0.33928571,0.58928571
76,0.1,7,B1,3,0.50727513,0.16666667,0.14748677,0.50727513,0.17857143
77,0.1,7,B1,3,0.43584656,0.2202381,0.34391534,0.43584656,0
78,0.1,7,A2,4,0.52463054,0.17426108,0.52463054,0.30110837,0
79,0.1,7,A2,4,0.60664112,0.23180077,0.60664112,0.16155811,0
80,0.1,7,A2,4,0.59259259,0.22222222,0.59259259,0.18518519,0
81,0.1,7,A2,4,0.59986772,0.25396825,0.59986772,0.14616402,0
82,0.1,7,B2,3,0.36699507,0.36699507,0.30357143,0.27770936,0.05172414
83,0.1,7,B1,3,0.38485222,0.36699507,0,0.38485222,0.24815271
84,0.1,7,A1,4,0.44642857,0.26785714,0,0.28571429,0.44642857
85,0.1,7,A1,4,0.51785714,0.26785714,0,0.21428571,0.51785714
86,0.1,7,A1,4,0.60714286,0.19642857,0,0.19642857,0.60714286
87,0.1,7,A1,4,0.64285714,0.16071429,0,0.19642857,0.64285714
88,0.1,7,A1,3,0.55357143,0.10714286,0.01785714,0.32142857,0.55357143
89,0.1,7,B1,4,0.53571429,0,0.03571429,0.53571429,0.42857143
90,0.1,7,B1,3,0.51785714,0.125,0.17857143,0.51785714,0.17857143
91,0.1,7,B1,3,0.5,0.17857143,0.32142857,0.5,0
92,0.1,7,A2,4,0.48214286,0.16071429,0.48214286,0.35714286,0
93,0.1,7,A2,4,0.61772487,0.23677249,0.61772487,0.14550265,0
94,0.1,7,A2,3,0.52843915,0.34391534,0.52843915,0.07407407,0.05357143
95,0.1,7,B2,4,0.46428571,0.46428571,0.42857143,0,0.10714286
96,0.1,7,B2,3,0.49137931,0.49137931,0.19642857,0.15517241,0.1570197
97,0.1,7,B2,3,0.41995074,0.41995074,0,0.29802956,0.2820197
98,0.1,7,A1,4,0.41931217,0.32671958,0,0.25396825,0.41931217
99,0.1,7,A1,4,0.54431217,0.21957672,0,0.23611111,0.54431217
100,0.1,7,A1,4,0.58928571,0.14285714,0,0.26785714,0.58928571
1,0.4,2,A1,3,0.55178571,0.0125,0.12678571,0.30892857,0.55178571
2,0.4,2,B1,4,0.45504926,0,0.20997537,0.45504926,0.33497537
3,0.4,2,B1,4,0.5862069,0,0.20689655,0.5862069,0.20689655
4,0.4,2,B1,4,0.61330049,0,0.17549261,0.61330049,0.2112069
5,0.4,2,B1,4,0.58201058,0,0.16335979,0.58201058,0.25462963
6,0.4,2,B1,3,0.4212963,0.125,0.07407407,0.4212963,0.37962963
7,0.4,2,A1,4,0.46428571,0.28571429,0,0.25,0.46428571
8,0.4,2,A1,4,0.46428571,0.32142857,0,0.21428571,0.46428571
9,0.4,2,A1,4,0.44642857,0.375,0,0.17857143,0.44642857
10,0.4,2,A1,3,0.35714286,0.21428571,0.23214286,0.19642857,0.35714286
11,0.4,2,A2,2,0.39285714,0,0.39285714,0.25,0.35714286
12,0.4,2,A2,2,0.36761084,0,0.36761084,0.31527094,0.31711823
13,0.4,2,B1,4,0.38669951,0,0.33189655,0.38669951,0.28140394
14,0.4,2,B1,4,0.42118227,0,0.24568966,0.42118227,0.33312808
15,0.4,2,A2,2,0.35283251,0,0.35283251,0.33189655,0.31527094
16,0.4,2,A2,2,0.46428571,0,0.46428571,0.32142857,0.21428571
17,0.4,2,A2,2,0.46428571,0,0.46428571,0.39285714,0.14285714
18,0.4,2,B1,3,0.42857143,0.25,0.23214286,0.42857143,0.08928571
19,0.4,2,B2,2,0.57142857,0.57142857,0,0.33928571,0.08928571
20,0.4,2,B2,2,0.57142857,0.57142857,0,0.17857143,0.25
21,0.4,2,B2,2,0.57142857,0.57142857,0,0.125,0.30357143
22,0.4,2,B2,2,0.55357143,0.55357143,0,0.125,0.32142857
23,0.4,2,B2,2,0.5,0.5,0,0.08928571,0.41071429
24,0.4,2,A2,2,0.30357143,0.26785714,0.30357143,0.16071429,0.26785714
25,0.4,2,A2,2,0.67857143,0,0.67857143,0.21428571,0.10714286
26,0.4,2,A2,2,0.71428571,0,0.71428571,0.14285714,0.14285714
27,0.4,2,A2,2,0.69642857,0,0.69642857,0.17857143,0.125
28,0.4,2,A2,2,0.75,0,0.75,0.17857143,0.07142857
29,0.4,2,A2,2,0.80026455,0,0.80026455,0.12698413,0.07275132
30,0.4,2,A2,2,0.78240741,0,0.78240741,0.14484127,0.07275132
31,0.4,2,B2,2,0.37931034,0.37931034,0.375,0.19273399,0.05295567
32,0.4,2,B2,2,0.77216749,0.77216749,0,0.19273399,0.03509852
33,0.4,2,B2,2,0.80357143,0.80357143,0,0.14285714,0.05357143
34,0.4,2,B2,2,0.85899015,0.85899015,0,0.07081281,0.07019704
35,0.4,2,B2,2,0.91256158,0.91256158,0,0.01724138,0.07019704
36,0.4,2,B2,2,0.96428571,0.96428571,0,0,0.03571429
37,0.4,2,B2,2,0.98214286,0.98214286,0,0,0.01785714
38,0.4,2,B2,1,0.48214286,0.48214286,0.46428571,0,0.05357143
39,0.4,2,A2,2,0.94642857,0,0.94642857,0,0.05357143
40,0.4,2,A2,2,0.98214286,0,0.98214286,0,0.01785714
41,0.4,2,A2,2,1,0,1,0,0
42,0.4,2,A2,2,0.98214286,0,0.98214286,0.01785714,0
43,0.4,2,A2,2,0.96428571,0,0.96428571,0.03571429,0
44,0.4,2,A2,2,0.98214286,0,0.98214286,0.01785714,0
45,0.4,2,A2,1,0.5,0.5,0.5,0,0
46,0.4,2,B2,2,1,1,0,0,0
47,0.4,2,B2,2,0.96428571,0.96428571,0,0,0.03571429
48,0.4,2,B2,2,0.96428571,0.96428571,0,0,0.03571429
49,0.4,2,B2,2,1,1,0,0,0
50,0.4,2,B2,1,0.5,0.5,0.48275862,0,0.01724138
51,0.4,2,A2,2,0.98275862,0,0.98275862,0,0.01724138
52,0.4,2,A2,2,1,0,1,0,0
53,0.4,2,A2,2,1,0,1,0,0
54,0.4,2,A2,2,1,0,1,0,0
55,0.4,2,A2,2,1,0,1,0,0
56,0.4,2,A2,1,0.5,0.5,0.5,0,0
57,0.4,2,B2,2,1,1,0,0,0
1,0.4,7,B1,4,0.469642857,0.46964286,0.073214286,0.469642857,0.444642857
2,0.4,7,B1,4,0.660714286,0.66071429,0.107142857,0.660714286,0.232142857
3,0.4,7,B1,4,0.700123153,0.70012315,0.088669951,0.700123153,0.211206897
4,0.4,7,B1,4,0.793103448,0.79310345,0.017241379,0.793103448,0.189655172
5,0.4,7,B1,2,0.637292465,0.63729246,0,0.637292465,0.362707535
6,0.4,7,A1,3,0.509259259,0.50925926,0.107142857,0.240740741,0.509259259
7,0.4,7,A1,3,0.410714286,0.41071429,0.178571429,0,0.410714286
8,0.4,7,B2,4,0.607142857,0.60714286,0.089285714,0,0.303571429
9,0.4,7,B2,4,0.732142857,0.73214286,0.071428571,0,0.196428571
10,0.4,7,B2,1,0.392857143,0.39285714,0.267857143,0.035714286,0.303571429
11,0.4,7,A2,2,0.421182266,0.42118227,0.421182266,0.225369458,0.353448276
12,0.4,7,B1,4,0.403940887,0.40394089,0.367610837,0.403940887,0.228448276
13,0.4,7,B1,4,0.392857143,0.39285714,0.321428571,0.392857143,0.285714286
14,0.4,7,B1,4,0.482142857,0.48214286,0.339285714,0.482142857,0.178571429
15,0.4,7,B1,4,0.625,0.625,0.303571429,0.625,0.071428571
16,0.4,7,B1,4,0.511083744,0.51108374,0.36637931,0.511083744,0.122536946
17,0.4,7,B1,3,0.386083744,0.38608374,0.24137931,0.386083744,0.265394089
18,0.4,7,B1,3,0.375,0.375,0,0.375,0.303571429
19,0.4,7,B2,2,0.428571429,0.42857143,0,0.339285714,0.232142857
20,0.4,7,B2,2,0.464285714,0.46428571,0,0.285714286,0.25
21,0.4,7,B2,2,0.439655172,0.43965517,0,0.193965517,0.36637931
22,0.4,7,A1,4,0.50063857,0.50063857,0,0.143039591,0.50063857
23,0.4,7,A1,4,0.574074074,0.57407407,0,0.111111111,0.574074074
24,0.4,7,A1,3,0.481481481,0.48148148,0.222222222,0.148148148,0.481481481
25,0.4,7,A2,2,0.400793651,0.40079365,0.400793651,0.28968254,0.30952381
26,0.4,7,B1,4,0.392857143,0.39285714,0.357142857,0.392857143,0.25
27,0.4,7,B1,4,0.421182266,0.42118227,0.368226601,0.421182266,0.210591133
28,0.4,7,B1,4,0.439039409,0.43903941,0.350369458,0.439039409,0.210591133
29,0.4,7,B1,4,0.464285714,0.46428571,0.357142857,0.464285714,0.178571429
30,0.4,7,B1,4,0.482142857,0.48214286,0.392857143,0.482142857,0.125
31,0.4,7,B1,3,0.446428571,0.44642857,0.196428571,0.446428571,0.196428571
32,0.4,7,B2,2,0.357142857,0.35714286,0,0.303571429,0.339285714
33,0.4,7,A1,4,0.437807882,0.43780788,0,0.227832512,0.437807882
34,0.4,7,A1,4,0.437807882,0.43780788,0,0.227832512,0.437807882
35,0.4,7,A1,4,0.446428571,0.44642857,0,0.214285714,0.446428571
36,0.4,7,A1,4,0.446428571,0.44642857,0,0.214285714,0.446428571
37,0.4,7,A2,2,0.310344828,0.31034483,0.310344828,0.210591133,0.282635468
38,0.4,7,A2,2,0.57820197,0.57820197,0.57820197,0.228448276,0.193349754
39,0.4,7,A2,2,0.464285714,0.46428571,0.464285714,0.357142857,0.178571429
40,0.4,7,A2,2,0.428571429,0.42857143,0.428571429,0.410714286,0.160714286
41,0.4,7,A2,2,0.535714286,0.53571429,0.535714286,0.303571429,0.160714286
42,0.4,7,B1,3,0.36637931,0.36637931,0.303571429,0.36637931,0.123152709
43,0.4,7,B2,2,0.528325123,0.52832512,0,0.330665025,0.141009852
44,0.4,7,B2,2,0.562169312,0.56216931,0,0.126322751,0.311507937
45,0.4,7,B2,2,0.526455026,0.52645503,0,0.090608466,0.382936508
46,0.4,7,B2,2,0.642857143,0.64285714,0,0.089285714,0.267857143
47,0.4,7,B2,2,0.678571429,0.67857143,0,0.071428571,0.25
48,0.4,7,A1,3,0.375,0.375,0.232142857,0.071428571,0.375
49,0.4,7,A2,2,0.491402116,0.49140212,0.491402116,0.072751323,0.435846561
50,0.4,7,A2,2,0.574074074,0.57407407,0.574074074,0.185185185,0.240740741
51,0.4,7,A2,2,0.666666667,0.66666667,0.666666667,0.203703704,0.12962963
52,0.4,7,A2,2,0.619708995,0.61970899,0.619708995,0.14484127,0.235449735
53,0.4,7,A2,2,0.589285714,0.58928571,0.589285714,0.142857143,0.267857143
54,0.4,7,A2,2,0.717980296,0.7179803,0.717980296,0.105295567,0.176724138
55,0.4,7,A2,2,0.717980296,0.7179803,0.717980296,0.176724138,0.105295567
56,0.4,7,A2,2,0.700738916,0.70073892,0.700738916,0.211206897,0.088054187
57,0.4,7,A2,2,0.772167488,0.77216749,0.772167488,0.139778325,0.088054187
58,0.4,7,A2,2,0.781746032,0.78174603,0.781746032,0.146164021,0.072089947
59,0.4,7,A2,1,0.388888889,0.38888889,0.388888889,0.19973545,0.036375661
60,0.4,7,B2,2,0.819444444,0.81944444,0,0.144179894,0.036375661
61,0.4,7,B2,2,0.85515873,0.85515873,0,0.072751323,0.072089947
62,0.4,7,B2,2,0.839285714,0.83928571,0,0.089285714,0.071428571
63,0.4,7,B2,2,0.839285714,0.83928571,0,0.089285714,0.071428571
64,0.4,7,B2,2,0.821428571,0.82142857,0,0.053571429,0.125
65,0.4,7,B2,2,0.875,0.875,0,0.035714286,0.089285714
66,0.4,7,B2,1,0.464285714,0.46428571,0.464285714,0.017857143,0.053571429
67,0.4,7,A2,2,0.892857143,0.89285714,0.892857143,0.017857143,0.089285714
68,0.4,7,A2,2,0.842364532,0.84236453,0.842364532,0.035098522,0.122536946
69,0.4,7,A2,2,0.878078818,0.87807882,0.878078818,0.035098522,0.08682266
70,0.4,7,A2,2,0.946428571,0.94642857,0.946428571,0.035714286,0.017857143
71,0.4,7,A2,2,0.964901478,0.96490148,0.964901478,0.035098522,0
72,0.4,7,A2,2,0.948275862,0.94827586,0.948275862,0.051724138,0
73,0.4,7,A2,2,0.947660099,0.9476601,0.947660099,0.052339901,0
74,0.4,7,A2,1,0.482142857,0.48214286,0.482142857,0.035098522,0.017241379
75,0.4,7,B2,2,0.948275862,0.94827586,0,0.034482759,0.017241379
76,0.4,7,B2,2,0.964901478,0.96490148,0,0.035098522,0
77,0.4,7,B2,2,0.982142857,0.98214286,0,0.017857143,0
78,0.4,7,B2,2,1,1,0,0,0
79,0.4,7,B2,2,1,1,0,0,0
80,0.4,7,B2,2,0.982758621,0.98275862,0,0,0.017241379
81,0.4,7,B2,1,0.482758621,0.48275862,0.482758621,0,0.034482759
82,0.4,7,A2,2,0.982758621,0.98275862,0.982758621,0,0.017241379
83,0.4,7,A2,2,1,1,1,0,0
84,0.4,7,A2,2,1,1,1,0,0
85,0.4,7,A2,2,1,1,1,0,0
86,0.4,7,A2,2,1,1,1,0,0
87,0.4,7,A2,2,0.982758621,0.98275862,0.982758621,0.017241379,0
